te,max
807,30.5
808,30.3
809,29.9
810,27.7
811,28.1
812,28.3
813,28.7
814,27.9
815,27.4
816,28
817,28.4
818,29
819,29.2
820,30
821,30.9
822,30.7
823,31
824,31.7
825,31.7
826,31.5
827,30.9
828,31.2
829,29.4
830,29.3
831,30.9
832,31.9
833,31.9
834,31.6
835,31
836,30.2
837,31
838,30.9
839,31.4
840,32.2
841,31.8
842,31.9
843,31.3
844,30.7
845,31.6
846,32.4
847,32.5
848,32.2
849,32.1
850,32
851,31.2
852,29.7
853,29
854,30.3
855,30.5
856,31.1
857,31.7
858,32.2
859,32.1
860,32.5
861,32.4
862,31.6
863,27.9
864,29.4
865,31.3
866,29.7
867,28.8
868,28.6
869,28.2
870,28.5
871,28.5
872,31.2
873,30.5
874,31.6
875,31.6
876,31.1
877,31.2
878,31.6
879,31
880,29.1
881,29.8
882,30.3
883,29.4
884,29.6
885,28.1
886,26.1
887,27.6
888,28.5
889,28.4
890,29.8
891,29.9
892,29.9
893,31.2
894,31.3
895,31
896,30.9
897,31.2
898,31.2
899,31.1
900,31.3
901,29.5
902,30.6
903,30.8
904,30.4
905,30.5
906,30.1
907,29.6
908,29.5
909,30.1
910,30.4
911,28.2
912,28.3
913,28.4
914,30.1
915,30.6
916,31.1
917,29.8
918,30.2
919,30.6
920,30.9
921,29.9
922,29.9
923,28.7
924,28.6
925,29.6
926,29.4
927,29.2
928,28.7
929,29.4
930,30.1
931,30.4
932,30.5
933,29.8
934,27.8
935,26.3
936,25.7
937,26.6
938,28.2
939,25.5
940,27.1
941,28.1
942,27.8
943,28.1
944,29.1
945,29.2
946,27.7
947,27.6
948,28.1
949,27.1
950,27.2
951,27.3
952,28.7
953,28.5
954,28.1
955,28.1
956,27.1
957,29.6
958,29
959,29.3
960,30.3
961,29.8
962,30.1
963,28.4
964,28.6
965,28.2
966,28.7
967,28.2
968,27.1
969,27.7
970,28.4
971,28.1
972,29
973,28.7
974,27.4
975,26.3
976,27.4
977,28.2
978,28.5
979,23.9
980,25.4
981,27.3
982,27.4
983,27.6
984,28.5
985,28.3
986,28.7
987,28.4
988,27.9
989,25.9
990,25.8
991,27.5
992,28.2
993,27.4
994,27.7
995,27.2
996,28.1
997,28.2
998,28.4
999,27.5
1000,27.7
1001,28.7
1002,28.7
1003,28.9
1004,28.7
1005,27.3
1006,27.1
1007,27.6
1008,27.6
1009,26.9
1010,25.5
1011,27
1012,27.6
1013,28.4
1014,29.2
1015,29.6
1016,29.9
1017,28.7
1018,26.5
1019,26.3
1020,24.7
1021,26.3
1022,27.5
1023,28.1
1024,28.6
1025,28.9
1026,27.9
1027,26.1
1028,27.1
1029,27.1
1030,27.6
1031,27.1
1032,27.1
1033,25.9
1034,27.1
