iter	Passed	Remaining
678	6420	88142
679	6427	88090
680	6433	88039
681	6440	87993
682	6446	87944
683	6455	87919
684	6466	87936
685	6473	87895
686	6482	87879
687	6489	87830
688	6495	87779
689	6504	87756
690	6510	87709
691	6518	87677
692	6525	87639
693	6533	87614
694	6542	87591
695	6553	87604
696	6559	87551
697	6566	87502
698	6572	87448
699	6578	87399
700	6590	87429
701	6597	87382
702	6603	87327
703	6609	87273
704	6615	87219
705	6621	87166
706	6627	87112
707	6633	87060
708	6639	87010
709	6647	86976
710	6655	86948
711	6663	86919
712	6669	86875
713	6675	86825
714	6683	86794
715	6690	86749
716	6698	86723
717	6713	86789
718	6720	86746
719	6727	86706
720	6733	86654
721	6739	86603
722	6745	86553
723	6751	86505
724	6758	86458
725	6764	86406
726	6771	86366
727	6777	86314
728	6782	86259
729	6788	86206
730	6795	86161
731	6802	86123
732	6808	86075
733	6814	86025
734	6820	85975
735	6827	85932
736	6838	85951
737	6848	85949
738	6863	86010
739	6870	85976
740	6879	85964
741	6890	85972
742	6896	85921
743	6903	85885
744	6909	85837
745	6915	85788
746	6924	85776
747	6933	85758
748	6943	85753
749	6949	85710
750	6957	85688
751	6967	85687
752	6973	85641
753	6980	85597
754	6986	85553
755	6993	85507
756	7001	85487
757	7015	85542
758	7068	86064
759	7075	86018
760	7081	85973
761	7088	85938
762	7094	85889
763	7101	85852
764	7107	85806
765	7114	85766
766	7131	85851
767	7139	85821
768	7146	85789
769	7156	85787
770	7163	85749
771	7172	85734
772	7179	85703
773	7186	85658
774	7192	85611
775	7199	85575
776	7206	85541
777	7219	85574
778	7226	85536
779	7236	85541
780	7244	85510
781	7251	85476
782	7259	85449
783	7273	85498
784	7281	85475
785	7291	85471
786	7298	85443
787	7304	85394
788	7310	85346
789	7316	85301
790	7323	85259
791	7329	85220
792	7340	85227
793	7347	85192
794	7357	85189
795	7363	85146
796	7369	85098
797	7375	85052
798	7382	85012
799	7388	84968
800	7395	84935
801	7402	84892
802	7411	84889
803	7422	84893
804	7431	84882
805	7441	84889
806	7447	84842
807	7454	84799
808	7461	84768
809	7468	84732
810	7476	84714
811	7484	84687
812	7491	84649
813	7498	84625
814	7509	84631
815	7515	84587
816	7522	84550
817	7532	84550
818	7540	84525
819	7549	84515
820	7558	84506
821	7575	84584
822	7586	84598
823	7593	84557
824	7609	84629
825	7629	84739
826	7645	84805
827	7659	84849
828	7669	84840
829	7691	84973
830	7702	84991
831	7713	84998
832	7726	85029
833	7732	84984
834	7744	85007
835	7754	84998
836	7764	85002
837	7772	84977
838	7781	84961
839	7789	84943
840	7799	84938
841	7807	84921
842	7818	84932
843	7827	84912
844	7834	84879
845	7840	84834
846	7847	84802
847	7854	84773
848	7861	84738
849	7868	84698
850	7874	84657
851	7880	84618
852	7888	84587
853	7894	84544
854	7900	84506
855	7907	84472
856	7913	84429
857	7921	84401
858	7927	84362
859	7933	84321
860	7939	84277
861	7947	84245
862	7958	84260
863	7968	84257
864	7983	84313
865	7991	84292
866	7999	84264
867	8007	84249
868	8018	84252
869	8027	84242
870	8036	84227
871	8042	84193
872	8049	84151
873	8096	84539
874	8104	84513
875	8110	84476
876	8118	84448
877	8124	84410
878	8130	84368
879	8143	84400
880	8153	84399
881	8169	84454
882	8175	84414
883	8182	84377
884	8190	84354
885	8197	84328
886	8212	84369
887	8218	84330
888	8228	84325
889	8249	84440
890	8255	84403
891	8262	84366
892	8270	84348
893	8279	84334
894	8289	84327
895	8297	84313
896	8310	84341
897	8316	84299
898	8323	84259
899	8334	84275
900	8347	84299
901	8357	84299
902	8364	84262
903	8370	84227
904	8378	84205
905	8387	84193
906	8396	84180
907	8406	84180
908	8417	84180
909	8427	84178
910	8443	84241
911	8450	84208
912	8457	84179
913	8466	84161
914	8478	84182
915	8490	84195
916	8496	84160
917	8504	84133
918	8517	84164
919	8524	84129
920	8530	84088
921	8536	84050
922	8544	84029
923	8552	84006
924	8558	83965
925	8566	83939
926	8574	83922
927	8583	83907
928	8597	83949
929	8608	83951
930	8616	83935
931	8628	83950
932	8636	83932
933	8648	83950
934	8661	83974
935	8668	83942
936	8674	83901
937	8680	83860
938	8686	83820
939	8693	83794
940	8701	83770
941	8714	83795
942	8720	83754
943	8726	83717
944	8734	83689
945	8744	83689
946	8751	83660
947	8763	83676
948	8770	83651
949	8779	83640
950	8789	83638
951	8805	83690
952	8815	83683
953	8823	83661
954	8828	83620
955	8835	83582
956	8840	83539
957	8846	83498
958	8852	83456
959	8861	83449
960	8868	83417
961	8876	83390
962	8884	83375
963	8892	83355
964	8901	83343
965	8913	83357
966	8919	83322
967	8926	83287
968	8935	83281
969	8952	83343
970	8969	83408
971	8977	83383
972	8983	83344
973	8989	83307
974	9001	83319
975	9008	83292
976	9014	83255
977	9022	83229
978	9031	83219
979	9038	83190
980	9045	83158
981	9051	83118
982	9057	83086
983	9063	83049
984	9098	83272
985	9124	83415
986	9130	83380
987	9137	83344
988	9144	83313
989	9149	83274
990	9157	83246
991	9165	83229
992	9173	83204
993	9181	83185
994	9187	83148
995	9194	83115
996	9203	83105
997	9210	83079
998	9217	83052
999	9229	83061
1000	9239	83060
1001	9245	83023
1002	9255	83022
1003	9266	83026
1004	9275	83020
1005	9285	83019
1006	9292	82983
1007	9300	82967
1008	9309	82956
1009	9316	82928
1010	9326	82925
1011	9336	82921
1012	9344	82903
1013	9355	82908
1014	9363	82884
1015	9369	82850
1016	9375	82812
1017	9381	82775
1018	9392	82779
1019	9399	82751
1020	9411	82769
1021	9419	82745
1022	9427	82725
1023	9439	82746
1024	9452	82764
1025	9465	82791
1026	9473	82771
1027	9482	82756
1028	9501	82834
1029	9510	82825
1030	9517	82797
1031	9525	82779
1032	9538	82796
1033	9545	82770
1034	9552	82746
1035	9561	82732
1036	9570	82715
1037	9577	82687
1038	9585	82669
1039	9592	82643
1040	9605	82663
1041	9614	82659
1042	9621	82624
1043	9630	82612
1044	9637	82586
1045	9648	82596
1046	9655	82564
1047	9663	82543
1048	9675	82563
1049	9684	82551
1050	9698	82583
1051	9707	82568
1052	9714	82542
1053	9723	82533
1054	9736	82555
1055	9746	82548
1056	9760	82578
1057	9768	82557
1058	9777	82551
1059	9792	82590
1060	9801	82579
1061	9811	82571
1062	9817	82541
1063	9828	82544
1064	9836	82523
1065	9844	82507
1066	9865	82593
1067	9874	82583
1068	9881	82558
1069	9891	82553
1070	9910	82625
1071	9939	82782
1072	9976	82999
1073	9987	83005
1074	10002	83048
1075	10022	83123
1076	10032	83123
1077	10041	83105
1078	10048	83079
1079	10058	83071
1080	10064	83039
1081	10072	83016
1082	10084	83028
1083	10091	83001
1084	10098	82972
1085	10169	83474
1086	10176	83440
1087	10185	83429
1088	10201	83478
1089	10222	83559
1090	10233	83565
1091	10240	83533
1092	10246	83503
1093	10260	83524
1094	10270	83520
1095	10279	83511
1096	10293	83538
1097	10303	83537
1098	10313	83529
1099	10326	83554
1100	10339	83572
1101	10351	83585
1102	10358	83552
1103	10366	83531
1104	10378	83543
1105	10385	83513
1106	10391	83477
1107	10399	83459
1108	10411	83466
1109	10420	83454
1110	10426	83418
1111	10432	83387
1112	10445	83401
1113	10453	83381
1114	10459	83349
1115	10468	83338
1116	10475	83308
1117	10482	83279
1118	10492	83278
1119	10499	83249
1120	10506	83217
1121	10514	83194
1122	10520	83163
1123	10535	83199
1124	10549	83220
1125	10557	83200
1126	10566	83190
1127	10576	83182
1128	10583	83161
1129	10590	83127
1130	10597	83102
1131	10603	83070
1132	10613	83060
1133	10620	83035
1134	10633	83055
1135	10642	83039
1136	10648	83005
1137	10656	82987
1138	10663	82956
1139	10669	82921
1140	10677	82903
1141	10690	82920
1142	10700	82919
1143	10709	82906
1144	10716	82873
1145	10722	82838
1146	10729	82812
1147	10740	82814
1148	10749	82808
1149	10760	82807
1150	10766	82775
1151	10775	82764
1152	10782	82732
1153	10789	82709
1154	10799	82703
1155	10805	82670
1156	10814	82658
1157	10821	82626
1158	10827	82595
1159	10835	82573
1160	10841	82541
1161	10849	82517
1162	10856	82490
1163	10864	82470
1164	10872	82451
1165	10880	82431
1166	10888	82411
1167	10893	82375
1168	10901	82350
1169	10914	82373
1170	10926	82384
1171	10936	82375
1172	10943	82352
1173	10949	82320
1174	10960	82316
1175	10969	82311
1176	10976	82280
1177	10983	82252
1178	10989	82220
1179	10996	82193
1180	11005	82180
1181	11017	82190
1182	11024	82169
1183	11030	82135
1184	11037	82103
1185	11043	82070
1186	11050	82045
1187	11056	82014
1188	11063	81984
1189	11069	81952
1190	11075	81919
1191	11082	81894
1192	11089	81868
1193	11095	81834
1194	11102	81802
1195	11110	81784
1196	11121	81789
1197	11128	81761
1198	11135	81740
1199	11210	82213
1200	11218	82190
1201	11224	82160
1202	11233	82144
1203	11243	82143
1204	11251	82118
1205	11257	82086
1206	11265	82068
1207	11280	82104
1208	11288	82080
1209	11294	82048
1210	11300	82015
1211	11308	81998
1212	11315	81969
1213	11321	81936
1214	11327	81904
1215	11334	81873
1216	11340	81841
1217	11346	81810
1218	11352	81776
1219	11358	81746
1220	11366	81726
1221	11372	81692
1222	11378	81661
1223	11385	81631
1224	11391	81603
1225	11401	81598
1226	11409	81580
1227	11419	81576
1228	11426	81543
1229	11432	81512
1230	11438	81478
1231	11444	81447
1232	11450	81417
1233	11456	81385
1234	11463	81360
1235	11470	81329
1236	11478	81315
1237	11485	81287
1238	11492	81263
1239	11501	81251
1240	11508	81225
1241	11514	81192
1242	11520	81163
1243	11529	81153
1244	11537	81130
1245	11547	81125
1246	11557	81121
1247	11564	81100
1248	11573	81086
1249	11584	81092
1250	11593	81079
1251	11599	81048
1252	11605	81017
1253	11612	80988
1254	11619	80967
1255	11626	80939
1256	11633	80912
1257	11639	80886
1258	11652	80899
1259	11664	80908
1260	11676	80919
1261	11697	80993
1262	11704	80968
1263	11719	81000
1264	11729	80993
1265	11745	81030
1266	11751	81001
1267	11761	80996
1268	11770	80984
1269	11780	80981
1270	11795	81010
1271	11803	80993
1272	11815	81000
1273	11822	80975
1274	11829	80948
1275	11837	80934
1276	11844	80905
1277	11850	80878
1278	11858	80861
1279	11869	80863
1280	11879	80856
1281	11900	80928
1282	11907	80903
1283	11920	80917
1284	11926	80887
1285	11934	80868
1286	11945	80869
1287	11955	80869
1288	11961	80838
1289	11970	80822
1290	11977	80802
1291	11984	80777
1292	11991	80752
1293	11998	80727
1294	12008	80718
1295	12016	80704
1296	12023	80679
1297	12031	80660
1298	12044	80677
1299	12055	80680
1300	12068	80694
1301	12078	80692
1302	12085	80666
1303	12091	80635
1304	12098	80608
1305	12104	80581
1306	12112	80558
1307	12117	80527
1308	12124	80497
1309	12130	80467
1310	12136	80436
1311	12142	80407
1312	12150	80387
1313	12157	80366
1314	12164	80339
1315	12170	80312
1316	12179	80300
1317	12187	80280
1318	12242	80573
1319	12273	80706
1320	12279	80677
1321	12285	80648
1322	12292	80622
1323	12299	80596
1324	12305	80567
1325	12312	80541
1326	12318	80512
1327	12324	80483
1328	12331	80456
1329	12337	80425
1330	12349	80436
1331	12357	80416
1332	12377	80475
1333	12385	80457
1334	12392	80434
1335	12398	80407
1336	12409	80407
1337	12416	80379
1338	12422	80353
1339	12429	80326
1340	12435	80300
1341	12444	80284
1342	12451	80265
1343	12459	80241
1344	12465	80212
1345	12474	80201
1346	12481	80179
1347	12493	80187
1348	12499	80158
1349	12506	80137
1350	12513	80113
1351	12520	80085
1352	12539	80140
1353	12560	80202
1354	12573	80220
1355	12579	80191
1356	12595	80226
1357	12604	80210
1358	12610	80181
1359	12616	80153
1360	12624	80133
1361	12632	80114
1362	12644	80126
1363	12655	80125
1364	12666	80130
1365	12678	80133
1366	12685	80114
1367	12695	80109
1368	12703	80088
1369	12709	80059
1370	12716	80035
1371	12726	80032
1372	12733	80008
1373	12740	79985
1374	12750	79979
1375	12757	79958
1376	12764	79931
1377	12771	79907
1378	12777	79877
1379	12786	79869
1380	12792	79840
1381	12801	79827
1382	12807	79799
1383	12814	79773
1384	12821	79753
1385	12827	79723
1386	12835	79705
1387	12845	79700
1388	12854	79687
1389	12861	79665
1390	12868	79641
1391	12886	79691
1392	12894	79670
1393	12901	79651
1394	12909	79628
1395	12916	79611
1396	12923	79583
1397	12929	79555
1398	12935	79526
1399	12941	79497
1400	12948	79477
1401	12958	79470
1402	12968	79466
1403	12975	79439
1404	12983	79428
1405	12990	79404
1406	12998	79386
1407	13005	79361
1408	13012	79340
1409	13024	79347
1410	13034	79345
1411	13041	79321
1412	13047	79293
1413	13054	79267
1414	13060	79239
1415	13066	79212
1416	13072	79185
1417	13079	79157
1418	13085	79128
1419	13093	79111
1420	13101	79097
1421	13109	79081
1422	13117	79065
1423	13124	79040
1424	13130	79016
1425	13137	78988
1426	13147	78985
1427	13156	78976
1428	13170	78992
1429	13178	78980
1430	13186	78961
1431	13195	78952
1432	13207	78957
1433	13218	78961
1434	13227	78952
1435	13234	78928
1436	13240	78900
1437	13247	78878
1438	13319	79243
1439	13326	79215
1440	13332	79189
1441	13338	79163
1442	13345	79138
1443	13358	79150
1444	13366	79138
1445	13376	79128
1446	13385	79120
1447	13392	79098
1448	13398	79071
1449	13406	79053
1450	13413	79031
1451	13420	79004
1452	13426	78979
1453	13434	78964
1454	13442	78943
1455	13450	78927
1456	13456	78900
1457	13462	78872
1458	13468	78843
1459	13474	78814
1460	13480	78786
1461	13486	78757
1462	13492	78730
1463	13498	78702
1464	13504	78675
1465	13517	78689
1466	13524	78667
1467	13531	78642
1468	13537	78615
1469	13543	78587
1470	13551	78574
1471	13562	78573
1472	13569	78550
1473	13576	78528
1474	13582	78504
1475	13589	78482
1476	13597	78461
1477	13605	78446
1478	13612	78426
1479	13620	78407
1480	13631	78410
1481	13637	78382
1482	13645	78369
1483	13652	78342
1484	13658	78316
1485	13664	78291
1486	13672	78274
1487	13680	78257
1488	13689	78246
1489	13695	78219
1490	13701	78195
1491	13708	78173
1492	13716	78157
1493	13725	78143
1494	13733	78129
1495	13740	78107
1496	13751	78108
1497	13761	78106
1498	13772	78103
1499	13780	78089
1500	13793	78100
1501	13799	78076
1502	13805	78050
1503	13812	78028
1504	13822	78023
1505	13834	78028
1506	13841	78007
1507	13853	78014
1508	13870	78046
1509	13885	78070
1510	13893	78057
1511	13901	78039
1512	13907	78014
1513	13915	77997
1514	13933	78034
1515	13946	78046
1516	13953	78027
1517	13968	78048
1518	13978	78043
1519	13988	78039
1520	13998	78037
1521	14006	78019
1522	14013	77999
1523	14024	77999
1524	14032	77984
1525	14048	78014
1526	14056	77998
1527	14065	77987
1528	14074	77973
1529	14082	77957
1530	14089	77935
1531	14103	77955
1532	14109	77931
1533	14118	77918
1534	14124	77893
1535	14135	77894
1536	14142	77869
1537	14149	77850
1538	14157	77835
1539	14165	77816
1540	14174	77806
1541	14181	77787
1542	14190	77774
1543	14200	77771
1544	14219	77815
1545	14238	77861
1546	14257	77906
1547	14276	77949
1548	14292	77976
1549	14393	78465
1550	14401	78449
1551	14407	78425
1552	14418	78426
1553	14433	78444
1554	14440	78423
1555	14446	78396
1556	14452	78370
1557	14458	78342
1558	14465	78319
1559	14476	78324
1560	14484	78304
1561	14490	78277
1562	14496	78249
1563	14501	78221
1564	14508	78195
1565	14514	78170
1566	14520	78142
1567	14526	78115
1568	14532	78091
1569	14538	78065
1570	14546	78045
1571	14552	78021
1572	14560	78004
1573	14566	77980
1574	14574	77962
