iter	Passed	Remaining
747	7719	2600
748	7729	2590
749	7739	2579
750	7749	2569
751	7760	2559
752	7770	2548
753	7779	2538
754	7790	2528
755	7805	2519
756	7814	2508
757	7824	2497
758	7835	2487
759	7850	2479
760	7860	2468
761	7870	2458
762	7879	2447
763	7888	2436
764	7897	2426
765	7911	2416
766	7924	2407
767	7934	2396
768	7945	2386
769	7954	2376
770	7963	2365
771	7973	2354
772	7982	2344
773	7992	2333
774	8001	2322
775	8011	2312
776	8020	2301
777	8030	2291
778	8039	2280
779	8048	2270
780	8059	2259
781	8069	2249
782	8078	2238
783	8093	2229
784	8107	2220
785	8117	2210
786	8130	2200
787	8141	2190
788	8152	2180
789	8162	2169
790	8172	2159
791	8187	2150
792	8198	2140
793	8209	2129
794	8223	2120
795	8237	2111
796	8249	2101
797	8258	2090
798	8268	2079
799	8277	2069
800	8286	2058
801	8296	2048
802	8306	2037
803	8315	2027
804	8325	2016
805	8334	2006
806	8343	1995
807	8353	1984
808	8363	1974
809	8375	1964
810	8386	1954
811	8396	1943
812	8405	1933
813	8415	1922
814	8427	1912
815	8436	1902
816	8445	1891
817	8455	1881
818	8465	1870
819	8473	1860
820	8483	1849
821	8494	1839
822	8505	1829
823	8514	1818
824	8525	1808
825	8534	1797
826	8545	1787
827	8555	1777
828	8567	1767
829	8578	1757
830	8587	1746
831	8597	1735
832	8606	1725
833	8615	1714
834	8625	1704
835	8634	1693
836	8644	1683
837	8653	1672
838	8663	1662
839	8672	1651
840	8682	1641
841	8700	1632
842	8711	1622
843	8720	1611
844	8729	1601
845	8739	1590
846	8748	1580
847	8758	1569
848	8767	1559
849	8777	1549
850	8790	1539
851	8800	1528
852	8811	1518
853	8821	1508
854	8836	1498
855	8852	1489
856	8864	1479
857	8876	1469
858	8888	1459
859	8898	1448
860	8908	1438
861	8917	1427
862	8927	1417
863	8936	1406
864	8945	1396
865	8955	1385
866	8964	1375
867	8974	1364
868	8983	1354
869	8997	1344
870	9011	1334
871	9022	1324
872	9031	1313
873	9040	1303
874	9049	1292
875	9059	1282
876	9074	1272
877	9083	1262
878	9093	1251
879	9102	1241
880	9112	1230
881	9122	1220
882	9136	1210
883	9149	1200
884	9159	1190
885	9168	1179
886	9178	1169
887	9187	1158
888	9196	1148
889	9205	1137
890	9215	1127
891	9224	1116
892	9233	1106
893	9242	1095
894	9252	1085
895	9262	1075
896	9274	1065
897	9291	1055
898	9303	1045
899	9312	1034
900	9322	1024
901	9332	1013
902	9342	1003
903	9351	993
904	9360	982
905	9370	972
906	9379	961
907	9389	951
908	9398	940
909	9408	930
910	9420	920
911	9430	910
912	9442	899
913	9454	889
914	9464	879
915	9474	868
916	9483	858
917	9493	847
918	9502	837
919	9511	827
920	9521	816
921	9530	806
922	9539	795
923	9548	785
924	9559	775
925	9570	764
926	9580	754
927	9590	744
928	9600	733
929	9610	723
930	9620	712
931	9629	702
932	9639	692
933	9648	681
934	9657	671
935	9666	660
936	9675	650
937	9685	640
938	9694	629
939	9703	619
940	9714	609
941	9724	598
942	9734	588
943	9745	578
944	9762	568
945	9778	558
946	9788	547
947	9798	537
948	9810	527
949	9821	516
950	9831	506
951	9841	496
952	9850	485
953	9860	475
954	9869	465
955	9880	454
956	9890	444
957	9900	434
958	9910	423
959	9921	413
960	9930	403
961	9940	392
962	9950	382
963	9959	371
964	9968	361
965	9978	351
966	9987	340
967	9997	330
968	10006	320
969	10015	309
970	10025	299
971	10037	289
972	10052	278
973	10062	268
974	10072	258
975	10085	248
976	10095	237
977	10105	227
978	10115	216
979	10124	206
980	10133	196
981	10143	185
982	10153	175
983	10162	165
984	10172	154
985	10181	144
986	10191	134
987	10205	123
988	10222	113
989	10233	103
990	10243	93
991	10252	82
992	10261	72
993	10271	62
994	10280	51
995	10290	41
996	10299	30
997	10308	20
998	10318	10
999	10327	0
